review_id,rating_date,employee_length,employee_status,employee_type,flags_business_outlook,flags_ceo_approval,flags_recommend_frend,rating_culture_values,rating_diversity_inclusion,rating_overall,rating_work_life,career_opportunities_rating,employee_location,employee_job_title,advice_to_management,review_pros,review_cons,rating_senior_leadership,rating_compensation_benefits,summary,sentiment_polarity,sentiment_subjectivity,sentiment_label
13,2025-05-04T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,5,0,,"Ajax, ON",Warehouse Associate,,good pay stressfree hard working,nightshift overtime cons,0,0,good pay stressfree hard working nightshift overtime cons,0.2041666667,0.5708333333,positive
14,2025-05-04T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,0,0,3,0,,"Louisville, TN",FC Associate I,,4 day weeks good benefits ot usually available,physical job prepare tired,0,0,4 day weeks good benefits ot usually available physical job prepare tired,0.175,0.4607142857,positive
15,2025-04-27T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NAN,NAN,POSITIVE,0,0,4,1,,"Suffolk, VA",Shipping and Receiving,,good reference previous work,cons knowledge,0,0,good reference previous work cons knowledge,0.2666666667,0.3833333333,positive
16,2025-04-24T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,3,,"Hamilton, ON",Order Picker,lose hiring bias know mean,people great,fired without notification one day badge didnt work wasting time bus fare,1,3,people great fired without notification one day badge didnt work wasting time bus fare,0.8,0.75,positive
17,2025-04-24T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,NAN,5,0,5,0,,,Project Management Intern,,quality work lot learn,contract extenscion hard find anything amazon,0,4,quality work lot learn contract extenscion hard find anything amazon,-0.2916666667,0.5416666667,negative
18,2025-04-23T00:00:00.000Z,2,REGULAR,Current employees,POSITIVE,APPROVE,POSITIVE,5,5,3,3,,"Ottawa, ON",Associate,,nice start students,long term job,5,5,nice start students long term job,0.275,0.7,positive
19,2025-04-21T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0,0,4,0,,"Durham, NC",Warehouse Associate,,flexible schedule felx,work feel repetitive boring,0,0,flexible schedule felx work feel repetitive boring,-0.625,0.625,negative
20,2025-04-19T00:00:00.000Z,2,REGULAR,Current employees,NEUTRAL,NO_OPINION,POSITIVE,5,5,4,5,,"Reno, NV",Production,,nice place work nice hours night shift 630pm5am upt pto vacation,favoritism like job,5,4,nice place work nice hours night shift 630pm5am upt pto vacation favoritism like job,0.6,1,positive
21,2025-04-16T00:00:00.000Z,2,REGULAR,Former employees,NEGATIVE,NO_OPINION,NEGATIVE,3,4,3,1,,"Chicago, IL",Driver,get better scheduling,peak season good pay great hours,peak season leave struggling,4,3,peak season good pay great hours peak season leave struggling,0.75,0.675,positive
22,2025-04-15T00:00:00.000Z,4,REGULAR,Current employees,NAN,NAN,NEGATIVE,5,5,4,2,,"Cambridge, ON",Process Assistant,,good pay process assistant,bit stressful honest tight workload station,3,4,good pay process assistant bit stressful honest tight workload station,0.3738095238,0.5952380952,positive
23,2025-04-11T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,,Winsen (Luhe),Area Manager,das management gibt vor sich um sie zu kümmern und sie kennen zu lernen und ihnen zu helfen wirklichkeit geht es aber darum sie auszubeuten und der schwebe zu halten,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt,dieser fc werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn du ihren toxischen standards nicht mit den niedrigsten manieren gerecht wirst,1,4,die bezahlung und die berufliche entwicklung die man durch die begegnung mit vielen menschen und das erlernen neuer prozesse erfährt dieser fc werden mitarbeiter und neueinstellungen wie nummern behandelt und sie versuchen dich loszuwerden wenn du ihren toxischen standards nicht mit den niedrigsten manieren gerecht wirst,0,0,negative
24,2025-04-09T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5,5,4,4,,"Barrhaven, ON",Fulfillment Associate,,wage increase 3 6 12 month great fulltime benefits work perks discount venngo,warehouse repetitive work corporation like layout dull great people management,4,5,wage increase 3 6 12 month great fulltime benefits work perks discount venngo warehouse repetitive work corporation like layout dull great people management,0.2645833333,0.5625,positive
25,2025-04-08T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,4,2,4,3,,"Hamilton, ON",Associate,,good wages warehouse associate,working environment gets little bit noisy,5,5,good wages warehouse associate working environment gets little bit noisy,0.25625,0.55,positive
26,2025-04-02T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",NEGATIVE,DISAPPROVE,NEGATIVE,1,1,1,1,,"Saint Peters, MO",Picker,,always hours available anytime pay,long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically,1,1,always hours available anytime pay long hours minimal light write bathroom breaks mandatory overtime little heads place drains emotionally physically,0.07708333333,0.4571428571,negative
27,2025-04-01T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0,0,4,0,,"Corona, CA",Warehouse,,easy starter job work,fast paced employment depends management,0,0,easy starter job work fast paced employment depends management,0.3166666667,0.7166666667,positive
28,2025-03-31T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,3,3,3,5,,Illescas,Mozo de almac%C3%A9n,,seguridad compañerismo comodidad rotativos adaptabilidad,trabajo cansado fines de semana posibilidad de cobrar más,3,3,seguridad compañerismo comodidad rotativos adaptabilidad trabajo cansado fines de semana posibilidad de cobrar más,0,0,negative
29,2025-03-31T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,4,0,,"San Bernardino, CA",Inbound Stower,,benefits bad pay,cons easy work people complain,0,0,benefits bad pay cons easy work people complain,-0.1333333333,0.75,negative
30,2025-03-31T00:00:00.000Z,1,REGULAR,"Current employee, less than 1 year",NAN,NAN,NAN,0,0,5,0,,"Aurora, CO",Warehouse Associate,,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity,monotonous work particularly rewarding work work become slow january may,0,0,flexible schedule 4 day10 hour shifts low stress environment frequent overtime opportunity monotonous work particularly rewarding work work become slow january may,0.075,0.5,negative
32,2025-03-27T00:00:00.000Z,2,REGULAR,Current employees,NEGATIVE,APPROVE,NEGATIVE,3,4,3,3,,"Ottawa, ON",Process Associate,try focus employee engagement break barriers community race personal biases give opportunities employees grow rather nurturing neo slavery attitude many associates skilled experienced working warehouse due personal situation leadership give opportunity optimize skills experience rather taking advantage utilizing labor works,best class work environment experience working robotic environment competitive work benefits accommodations,much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles,2,3,best class work environment experience working robotic environment competitive work benefits accommodations much physical work much job security pressure target work negatively impact physical mental health biased leadership justify experience skills ability personal connections nepotism works training promotion preferred job roles,0.0875,0.2357142857,negative
33,2025-03-26T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEUTRAL,APPROVE,POSITIVE,0,0,4,0,,"Edgemere, MD",Order Picker,,good benefits decent time opportunities automatic hire without interview,management move around building lot top performer order picking moved pack nearly every day,0,0,good benefits decent time opportunities automatic hire without interview management move around building lot top performer order picking moved pack nearly every day,0.3666666667,0.5416666667,positive
34,2025-03-26T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,POSITIVE,3,4,4,3,,"San Antonio, TX",Fulfullment Associate,,pay want go college,lot work,1,2,pay want go college lot work,0,0,negative
35,2025-03-24T00:00:00.000Z,2,REGULAR,Current employees,NEGATIVE,NAN,NEGATIVE,4,3,3,4,,"Ajax, ON",Warehouse Associate,,good pay benefits good people safety first,biased management work like robots growthopportunities,1,4,good pay benefits good people safety first biased management work like robots growthopportunities,0.55,0.5111111111,positive
36,2025-03-20T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,3,0,,"Grand Rapids, MI",Warehouse Team Member,,close home,gloves strong enough,0,0,close home gloves strong enough,0.2166666667,0.6166666667,positive
38,2025-03-19T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,NAN,0,0,4,0,,"West Jefferson, OH",Associate,,name,name,0,0,name name,0,0,negative
39,2025-03-18T00:00:00.000Z,1,CONTRACT,"Former employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,4,5,5,4,,"Brampton, ON",Warehouse Associate,,good work culture pay also events extracurriculam activity,quiet racist employee belong one group race,5,5,good work culture pay also events extracurriculam activity quiet racist employee belong one group race,0.35,0.4666666667,positive
40,2025-03-18T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,5,5,5,5,,"London, ON",Associate,,work life balance benefits,mandatory extra time required,5,5,work life balance benefits mandatory extra time required,0,0.1,negative
41,2025-03-13T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,POSITIVE,3,2,4,4,,,AA(Amazon Associate),,pay benefits really good,toxic work environment favoritism,4,5,pay benefits really good toxic work environment favoritism,0.7,0.6,positive
42,2025-03-12T00:00:00.000Z,0,PART_TIME,Former employee,NAN,NAN,NAN,0,0,4,0,,"Mississauga, ON",Warehouse Worker,,attractive pay employee benefits,contractual basis hiring based business need,0,0,attractive pay employee benefits contractual basis hiring based business need,0.8,1,positive
43,2025-03-08T00:00:00.000Z,0,REGULAR,Current employee,POSITIVE,APPROVE,POSITIVE,5,5,4,1,,,Mozo De Almacen,tener coche propio ya que hay manera de trasladarse en transporte público,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa,salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo,3,3,muy buenos beneficios exelente ambiente de trabajo ambiente de trabajo muy seguro posibilidad de hacer carrera dentro de la empresa salario esta mal pero se podría mejorar mucho más para el trabajo que se hace allí horarios rotativos te permite crear hábitos saludables ya que constantemente estás cambiando tu rutina diaria trabajo fines de semana trabajo muy repetitivo,0,0,negative
44,2025-03-07T00:00:00.000Z,4,REGULAR,Former employees,NEGATIVE,DISAPPROVE,NEGATIVE,1,1,2,1,,"San Antonio, TX",Pathways Operations Manager,,pay comparable ops,poor work life balance lack leadership stressful job clear way promotion anyone help get,1,4,pay comparable ops poor work life balance lack leadership stressful job clear way promotion anyone help get,-0.15,0.4916666667,negative
45,2025-03-05T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,4,0,,"Bolton, ON",Warehouse Associate,,career choice program great way start new career good benefits,coworkers speak non english infront,0,0,career choice program great way start new career good benefits coworkers speak non english infront,0.4090909091,0.4511363636,positive
46,2025-03-03T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,0,0,5,0,,"Waukegan, IL",FC Associate,,room excel position,extra shifts never available,0,0,room excel position extra shifts never available,-0.1,0.25,negative
47,2025-03-03T00:00:00.000Z,2,PART_TIME,Current employees,NAN,NAN,NAN,4,4,5,5,,"Kent, WA",Flex Associate,,choose hours work bad get use,could moved around lot depending different departments sometimes hard find shifts want work,5,4,choose hours work bad get use could moved around lot depending different departments sometimes hard find shifts want work,-0.3305555556,0.6027777778,negative
48,2025-03-03T00:00:00.000Z,2,REGULAR,Current employees,NEUTRAL,APPROVE,POSITIVE,5,5,3,2,,,FC Associate I,provide everyone equal chance make managers responsible towards associates bcz sometimes associates dont know actual information ask help managers say hr safety team hiring positions specially paprocess assistant learning needs evaluated based ground level performance based connections relatives higher position get hired pa learning safety team needs responsible bcz mostly dont took actions managers needs productivity get promoted associates presurised maintain productivity compromise safety ultimately creates critical health issues associates associates got less work promoted learn new skills compared others favourite managers relatives plz stop fair everyone,pay benefits provide like maternity accommodation insurance,worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,3,5,pay benefits provide like maternity accommodation insurance worklife balance continuous work without sitting almost location public transportation lack chance promotion new skills show giving fair chance everyone true ground level people certain community especially punjabis got promotions hr pa manager level lack support hr giving proper information actually need safety ground level compromised managers bcz want productivity get promotion people always praised managers got extrabenefits work able learn new skills hardworking associates,0.2037012987,0.4922186147,positive
49,2025-03-02T00:00:00.000Z,2,REGULAR,Former employees,NEUTRAL,NO_OPINION,NEGATIVE,1,3,3,5,,"Bessemer, AL",Inbound Stower,understood safety risk thing rule something distract noise head 1011 hrs day day youre someone like kinda rough almost torturous let people listen music man lol,got plenty time mental stuff needed places would fired,company mightve contributed alot needed much time lmao,1,4,got plenty time mental stuff needed places would fired company mightve contributed alot needed much time lmao,0.2333333333,0.4666666667,positive
50,2025-03-01T00:00:00.000Z,4,PART_TIME,Current employees,NAN,NAN,NAN,0,0,5,0,,"Hawthorne, CA",Warehouse Associate,,great experience got see warehouse built ground,became repetitive point,0,0,great experience got see warehouse built ground became repetitive point,0.275,0.5,positive
51,2025-03-01T00:00:00.000Z,6,REGULAR,Current employees,NAN,NAN,NEGATIVE,1,1,1,4,,Sydney,IT Support Engineer,apply practices preach ensure followed employees lower tier organizations hierarchy train leaders make sure due deligence role training future leaders wont make bigger impact current leaders exercising bias toxic traits moving ladder,bit learning right place right team assigned right team member mentor,dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,1,1,bit learning right place right team assigned right team member mentor dont bother joining though financial perks since dont casualcontract roles contract cleverly worded get work weekendsnight shifts without offering weekendnight shift allowances oncall pay either reimburse mobile bills seen culture departments excessive flattery towards leadership playing office politics seeking favoritism leadership appeasing leadership personal gain unhealthy admiration authority prioritizing leadership approval team collaboration performing leadership rather contributing meaningfully dysfunctional work environment hostile workplace dynamics unhealthy team culture negative organizational climate counterproductive work atmosphere culture fear favoritism lack psychological safety workplace unprofessional unsupportive work environment workplace toxicity favoritism,0.01448412698,0.5117063492,negative
52,2025-03-01T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,5,5,4,4,,"Whitestown, IN",Warehouse Associate,better pay hire opportunity insurance employees,good place work lots hours keep busy time,cons low pay insurance temp service position,5,1,good place work lots hours keep busy time cons low pay insurance temp service position,0.2666666667,0.4,positive
53,2025-02-27T00:00:00.000Z,4,REGULAR,Former employees,NAN,DISAPPROVE,NEGATIVE,1,1,1,1,,,Operations Manager,value honesty ethics treat people better promote based results politics set regional records unable get promoted since wouldn’t lie hr situations agm apart shady,stocks given bonuses take 34 years fully vest negative,expectation work 7 days per week always available via phone even work 12 hours expected you’re home upper management promotions based achievements team response ‘yes man’ last gmagm extremely unethical promoted people would lie also fudged numbers,1,2,stocks given bonuses take 34 years fully vest negative expectation work 7 days per week always available via phone even work 12 hours expected you’re home upper management promotions based achievements team response ‘yes man’ last gmagm extremely unethical promoted people would lie also fudged numbers,-0.02083333333,0.3777777778,negative
54,2025-02-26T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,3,0,,"Dallas, TX",Inbound Stower,,easy job move desired,physically demanding care rates,0,0,easy job move desired physically demanding care rates,0.2166666667,0.4880952381,positive
55,2025-02-26T00:00:00.000Z,2,REGULAR,Current employees,POSITIVE,APPROVE,POSITIVE,5,5,5,5,,"St. Thomas, ON",Inbound Receive Dock,improve break times workload balance reduce fatigue increase employee retention,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required,repetitive tasks exhausting,5,5,competitive pay benefits opportunity career growth fastpaced active work environment teamoriented workplace culture training provided experience required repetitive tasks exhausting,-0.2611111111,0.45,negative
56,2025-02-25T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,3,0,,"Illiopolis, IL",Operations Manager,,insane scope opportunities perks part huge company,untalented people sr positions gone far playing politics hard advance dont agreeable personanlity,0,0,insane scope opportunities perks part huge company untalented people sr positions gone far playing politics hard advance dont agreeable personanlity,-0.1979166667,0.8604166667,negative
57,2025-02-25T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",NEUTRAL,NO_OPINION,POSITIVE,4,5,4,2,,"Joliet, IL",Seasonal Warehouse Associate,,pay peak timebonus payhours chill staff,labor lack available resourcespeople workers requests troubles job apppay,3,5,pay peak timebonus payhours chill staff labor lack available resourcespeople workers requests troubles job apppay,0.4,0.4,positive
58,2025-02-25T00:00:00.000Z,2,FREELANCE,Former employees,NAN,NAN,NAN,5,5,5,5,,"San Francisco, CA",Seller,,flexible schedule adjust time,much competition sometimes gotta lower prices much get deal good profit,5,5,flexible schedule adjust time much competition sometimes gotta lower prices much get deal good profit,0.3666666667,0.3333333333,positive
59,2025-02-25T00:00:00.000Z,0,REGULAR,Current employee,POSITIVE,APPROVE,POSITIVE,5,5,5,5,,"Swindon, Wiltshire, South West England, England",AA(Amazon Associate),,good working environment good pay,heavy lifting sometimes stressful,5,5,good working environment good pay heavy lifting sometimes stressful,0.4,0.5666666667,positive
60,2025-02-21T00:00:00.000Z,0,REGULAR,Former employee,NAN,NAN,NAN,0,0,3,0,,"Fort Wayne, IN",Picker,,easiest job ever,get rid whenever want,0,0,easiest job ever get rid whenever want,0,0,negative
61,2025-02-21T00:00:00.000Z,4,REGULAR,Former employees,NAN,NAN,NAN,5,5,5,4,,Orléans,HRA,,très bonne école salaires généreux et cb avantageux,demande un investissement personnel important,5,5,très bonne école salaires généreux et cb avantageux demande un investissement personnel important,0.4,1,positive
63,2025-02-18T00:00:00.000Z,4,REGULAR,Current employees,NEUTRAL,APPROVE,POSITIVE,3,3,4,4,,"San Antonio, TX",L1 Associate,,name,name,3,4,name name,0,0,negative
64,2025-02-18T00:00:00.000Z,9,REGULAR,Current employees,POSITIVE,NO_OPINION,POSITIVE,4,3,4,3,,"Carrollton, TX",Sr Program Manager,trust team get job done reward,growth amp development relationships innovation fun actual work awesome,cons would job,3,3,growth amp development relationships innovation fun actual work awesome cons would job,0.4333333333,0.4333333333,positive
65,2025-02-18T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,0,0,5,0,,"Brampton, ON",Warehouse Associate,,good benefits environment team work great pay,don’t think downside,0,0,good benefits environment team work great pay don’t think downside,0.75,0.675,positive
66,2025-02-18T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,DISAPPROVE,NEGATIVE,1,2,2,1,,"San Bernardino, CA",ICQA Associate,hr protective youre losing connection workers allow unions people feel safe work build career,needed job fast onboarding fast skills requirements low pay local average fun work robotics fulfillment center,metrics always part work experience day day optimizations pas always coming give feedback make seem like matters numbers focus numbers output focus focus focus problem even though could great kept high quality maintaining speed quality really draining especially 10 hour shifts industrial environment literally 2 sometimes none neighbors talk pass long day repetitive tasks thats another thing physical mental aspect repetitious task mentally draining despite regular safety meetings warnings signs plastered place theres much pressure increase performance consistently lots people cutting corners keep getting canned ended repetitive motion injury hand due pulling items cubbies basically already covered policies theres nothing grin bear recommendation educate safety policies speak loudly frequently group settings feel something isnt safe keep leadership accountable dont push physically meet numbers difficult youve got bills pay worth long term mobility health build skills find work another company respects body,1,3,needed job fast onboarding fast skills requirements low pay local average fun work robotics fulfillment center metrics always part work experience day day optimizations pas always coming give feedback make seem like matters numbers focus numbers output focus focus focus problem even though could great kept high quality maintaining speed quality really draining especially 10 hour shifts industrial environment literally 2 sometimes none neighbors talk pass long day repetitive tasks thats another thing physical mental aspect repetitious task mentally draining despite regular safety meetings warnings signs plastered place theres much pressure increase performance consistently lots people cutting corners keep getting canned ended repetitive motion injury hand due pulling items cubbies basically already covered policies theres nothing grin bear recommendation educate safety policies speak loudly frequently group settings feel something isnt safe keep leadership accountable dont push physically meet numbers difficult youve got bills pay worth long term mobility health build skills find work another company respects body,0.03339285714,0.3706299058,negative
67,2025-02-18T00:00:00.000Z,2,REGULAR,Current employees,NAN,NAN,NAN,0,0,3,0,,"Bellevue, WA",Software Development Engineer (SDE),,good work lot learn,much work work life balance,0,0,good work lot learn much work work life balance,0.45,0.4,positive
68,2025-02-17T00:00:00.000Z,1,PART_TIME,"Former employee, less than 1 year",NAN,NAN,NAN,0,0,3,4,,"Portland, OR",Sortation Associate,,good pay shift options benefits,able train well employees,0,0,good pay shift options benefits able train well employees,0.6,0.6125,positive
69,2025-02-17T00:00:00.000Z,1,REGULAR,"Former employee, less than 1 year",POSITIVE,APPROVE,POSITIVE,5,5,5,4,,"Etna, OH",Associate,hire back didn’t know gone regret leaving,benefits amazon atoz app worked great thorough simple work repetitive made time fly,decent bit people didn’t speak much english would hard communicate sometimes everyone helpful needed,4,5,benefits amazon atoz app worked great thorough simple work repetitive made time fly decent bit people didn’t speak much english would hard communicate sometimes everyone helpful needed,0.175,0.4950680272,positive
70,2025-02-13T00:00:00.000Z,0,INTERN,Former employee,NAN,NAN,NAN,0,0,4,0,,"Tampa, FL",HR Partner Intern,,good pay benefits interns,since site 24 hours may get night shift,0,0,good pay benefits interns since site 24 hours may get night shift,0.7,0.6,positive
71,2025-02-12T00:00:00.000Z,0,CONTRACT,Former employee,NAN,NAN,NAN,0,0,2,0,,"Brampton, ON",Fulfillment Associate,,daytime hours good worklife balance,nighttime shift absolute mess,0,0,daytime hours good worklife balance nighttime shift absolute mess,0.2416666667,0.5583333333,positive
72,2025-02-11T00:00:00.000Z,0,INTERN,Former employee,NAN,NAN,NAN,0,0,4,0,,"Spokane, WA",Area Manager Intern,,hands work real experience managing associates,overwork interns like associate dont differentiate advocate work,0,0,hands work real experience managing associates overwork interns like associate dont differentiate advocate work,0.2,0.3,positive
73,2025-02-10T00:00:00.000Z,1,PART_TIME,"Current employee, less than 1 year",NAN,NAN,NAN,5,5,5,5,,Paderborn,FC Associate I,,fixed hours parttime fulltime available,pay overtime,5,5,fixed hours parttime fulltime available pay overtime,0.25,0.3,positive
74,2025-02-07T00:00:00.000Z,2,REGULAR,Former employees,POSITIVE,APPROVE,POSITIVE,4,4,5,4,,"Brampton, ON",Warehouse Associate,listen employees,provide healthy salary every six months salary hike good benefits,ask difficult targets internal politics still exist,4,4,provide healthy salary every six months salary hike good benefits ask difficult targets internal politics still exist,0.175,0.525,positive
75,2025-02-06T00:00:00.000Z,4,PART_TIME,Current employees,POSITIVE,APPROVE,POSITIVE,4,5,4,5,,"Delta, BC",Warehouse Worker,,good schedule good pay,heavy work load long shifts,4,5,good schedule good pay heavy work load long shifts,0.2875,0.525,positive
76,2025-02-06T00:00:00.000Z,1,CONTRACT,"Current employee, less than 1 year",NEUTRAL,APPROVE,POSITIVE,5,5,5,5,,"Gateshead, England",FC Associate,,good management best work culture nice colleagues,shift patterns break timings team leads,5,5,good management best work culture nice colleagues shift patterns break timings team leads,0.7666666667,0.6333333333,positive
77,2025-02-04T00:00:00.000Z,4,REGULAR,Current employees,NEGATIVE,DISAPPROVE,NEGATIVE,1,2,1,1,,"Delta, BC",Process Associate,focus taking care people driving productivity acknowledge successful,job paid bills makes really appreciate working somewhere else,cared increasing productivity people whoever coined equality opportunity employees needs look definition save physical mental well look employment elsewhere,1,4,job paid bills makes really appreciate working somewhere else cared increasing productivity people whoever coined equality opportunity employees needs look definition save physical mental well look employment elsewhere,0.03333333333,0.180952381,negative
78,2025-02-03T00:00:00.000Z,0,REGULAR,Current employee,NAN,NAN,NAN,4,4,4,3,,"Boston, MA",Non-Inventory Receiver,,want smooth start work think good idea,internal promotion bit difficult may take long time,4,4,want smooth start work think good idea internal promotion bit difficult may take long time,0.11,0.5,positive
79,2025-01-28T00:00:00.000Z,0,PART_TIME,Current employee,NAN,NAN,NAN,4,4,4,4,,El Prat de Llobregat,Técnico de mantenimiento industrial,,horario flexible muchos pluses en fin de semana,el metro tarda mucho en llegar al prat,4,4,horario flexible muchos pluses en fin de semana el metro tarda mucho en llegar al prat,0,0,negative
